iri,iri label,attribute,attribute label,entity,entity label,location,location label
ECTO:0000991,,PATO:0000070,amount,CHEBI:24431,chemical entity,ENVO:00010483,environmental material
ECTO:0000989,,PATO:0000470,increased amount,CHEBI:24431,chemical entity,ENVO:00010483,environmental material
ECTO:0000990,,PATO:0001997,decreased amount,CHEBI:24431,chemical entity,ENVO:00010483,environmental material
ECTO:0000983,,PATO:0000470,increased amount,CHEBI:24866,salt,ENVO:00001998,soil
ECTO:0000984,,PATO:0000470,increased amount,CHEBI:24866,salt,ENVO:00002006,water
ECTO:0000985,,PATO:0000470,increased amount,CHEBI:16183,methane,ENVO:00002005,air
ECTO:0000986,,PATO:0001997,decreased amount,CHEBI:24866,salt,ENVO:00001998,soil
ECTO:0000987,,PATO:0001997,decreased amount,CHEBI:24866,salt,ENVO:00002006,water
ECTO:0000988,,PATO:0001997,decreased amount,CHEBI:16183,methane,ENVO:00002005,air
ECTO:0000992,,PATO:0000070,amount,CHEBI:24431,chemical entity,ENVO:00002002,food product
ECTO:0000993,,PATO:0000070,amount,CHEBI:17234,glucose,ENVO:00002002,food product
ECTO:0000994,,PATO:0000070,amount,CHEBI:17992,sucrose,ENVO:00002002,food product
ECTO:0000995,,PATO:0000070,amount,CHEBI:28757,fructose,ENVO:00002002,food product
ECTO:0000996,,PATO:0000070,amount,CHEBI:36080,protein,ENVO:00002002,food product
ECTO:0000997,,PATO:0000470,increased amount,CHEBI:24431,chemical entity,ENVO:00002002,food product
ECTO:0000998,,PATO:0000470,increased amount,CHEBI:17234,glucose,ENVO:00002002,food product
ECTO:0000999,,PATO:0000470,increased amount,CHEBI:17992,sucrose,ENVO:00002002,food product
ECTO:0001000,,PATO:0000470,increased amount,CHEBI:28757,fructose,ENVO:00002002,food product
ECTO:0001001,,PATO:0000470,increased amount,CHEBI:36080,protein,ENVO:00002002,food product
ECTO:0001002,,PATO:0001997,decreased amount,CHEBI:24431,chemical entity,ENVO:00002002,food product
ECTO:0001003,,PATO:0001997,decreased amount,CHEBI:17234,glucose,ENVO:00002002,food product
ECTO:0001004,,PATO:0001997,decreased amount,CHEBI:17992,sucrose,ENVO:00002002,food product
ECTO:0001005,,PATO:0001997,decreased amount,CHEBI:28757,fructose,ENVO:00002002,food product
ECTO:0001006,,PATO:0001997,decreased amount,CHEBI:36080,protein,ENVO:00002002,food product
